127.0.0.1 - - [06/Sep/2024:11:07:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:45 +0900] "GET /store/user/main/index.do HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:47 +0900] "GET /store/user/main/index HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:48 +0900] "GET /store/main HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:56 +0900] "GET /store/main.do HTTP/1.1" 200 7887
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/Cinnamoroll.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/ddcb4a93-0daa-42af-a90e-56b949100aac.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/mypage.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/d7f12ab0-d041-4a55-8d96-aa323cb857e6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/057d3811-bfdc-4e06-827e-7e3bad8eca73.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/c21991fa-84d2-40e4-ad5a-2fff8173818e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:07:57 +0900] "GET /store/resources/images/558f224d-a537-451c-af8b-6dac2302fcb3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:08:00 +0900] "GET /store/mypage/orderList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:08:00 +0900] "GET /store/login.do HTTP/1.1" 200 4947
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:08:04 +0900] "POST /store/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:08:04 +0900] "GET /store/main.do HTTP/1.1" 200 7874
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:08:10 +0900] "GET /store/mypage/mycart.do HTTP/1.1" 200 10995
0:0:0:0:0:0:0:1 - - [06/Sep/2024:11:08:11 +0900] "GET /store/resources/css/bar.css HTTP/1.1" 304 -
